language,level,category,question_text,option_a,option_b,option_c,option_d,correct_answer
Italian,C1,vocabulary,"What is 'un palliativo'?","A makeshift solution / palliative","A final cure","A complete fix","A major problem",A
Italian,C1,vocabulary,"What does the adjective 'onorario' mean in a professional title?","Honorary / unpaid status","Full-time","Compulsory","Temporary",A
Italian,C1,vocabulary,"What does 'magnanimo' mean?","Magnanimous / generous and noble","Stingy","Cruel","Selfish",A
Italian,C1,vocabulary,"What is 'la lungaggine'?","Bureaucratic delay / long-winded process","Speed","Efficiency","Optimization",A
Italian,C1,vocabulary,"What does 'laconico' mean?","Laconic / using very few words","Verbose","Loud","Confusing",A
Italian,C1,vocabulary,"What does 'ineccepibile' mean?","Unimpeachable / faultless","Defective","Weak","Doubtful",A
Italian,C1,vocabulary,"What is 'l'indigenza'?","Poverty / destitution","Wealth","Opulence","Success",A
Italian,C1,vocabulary,"What does 'improbo' mean when describing a task?","Arduous / exhausting and unfair","Easy","Pleasant","Quick",A
Italian,C1,vocabulary,"What does 'illibato' mean?","Unblemished / pure","Damaged","Corrupt","Dirty",A
Italian,C1,vocabulary,"What is 'la futilità'?","Futility / uselessness","Importance","Value","Urgency",A
Italian,C1,vocabulary,"What does 'disorganico' mean?","Fragmented / lacking coherence","Structured","Perfect","Complete",A
Italian,C1,vocabulary,"What is 'la deferenza'?","Deference / respectful submission","Insolence","Arrogance","Hatred",A
Italian,C1,vocabulary,"What does 'crepuscolare' mean?","Twilight / dim and fading","Bright","Midday","Eternal",A
Italian,C1,vocabulary,"What is 'il decadimento'?","Decline / decay","Growth","Improvement","Success",A
Italian,C1,vocabulary,"What does 'coercitivo' mean?","Coercive / compulsory by force","Optional","Free","Voluntary",A
Italian,C1,vocabulary,"What does 'arguto' mean?","Witty / sharp and clever","Dull","Stupid","Silent",A
Italian,C1,vocabulary,"What is 'l'astrattezza'?","Abstractness / lack of concreteness","Realism","Certainty","Clarity",A
Italian,C1,vocabulary,"What does 'asserire' mean?","To assert / claim confidently","To deny","To doubt","To forget",A
Italian,C1,vocabulary,"What is 'un'ascesi'?","Asceticism / spiritual self-discipline","Indulgence","Luxury","Party",A
Italian,C1,vocabulary,"What does 'anomalo' mean?","Anomalous / irregular","Normal","Standard","Expected",A
